Unnamed: 0,Hora,Temperatura_Media,Temperatura_Minima,Temperatura_Maxima,Brillo_Solar,Energia_Radiacion_Solar,Humedad_Relativa,Precipitaciones,Evaporaciones,Velocidad_del_Viento,FechaHora
4749,00:00:00,13.5,7.8,19.4,7.4,489.51,70.6,0.4,3.84,1.08,1993-01-01
4750,00:00:00,13.4,7.4,19.6,3.1,323.19,78.3,3.1,2.1,0.6900000000000001,1993-01-02
4751,00:00:00,13.3,6.4,21.2,7.7,578.34,66.6,0.0,2.61,0.97,1993-01-03
4752,00:00:00,14.2,11.0,20.0,5.7,436.59,72.6,0.0,6.18,1.23,1993-01-04
4754,00:00:00,12.8,10.6,18.4,2.8,342.09,86.0,0.0,1.94,1.11,1993-01-06
4755,00:00:00,12.4,9.6,16.6,2.8,336.42,84.3,0.7000000000000001,2.24,0.87,1993-01-07
4756,00:00:00,11.2,7.6,15.0,6.4,485.73,81.6,0.2,3.8,1.14,1993-01-08
4757,00:00:00,12.9,8.8,18.0,9.2,504.63,75.6,0.0,3.02,1.27,1993-01-09
4758,00:00:00,13.4,7.2,18.8,7.2,510.3,73.0,0.0,4.58,1.23,1993-01-10
4761,00:00:00,12.4,4.0,18.4,4.9,302.4,78.6,0.0,1.76,0.79,1993-01-13
4762,00:00:00,12.5,7.4,20.0,3.9,351.54,75.3,0.0,2.28,0.97,1993-01-14
4763,00:00:00,11.6,7.2,16.6,4.1,398.79,79.6,0.8,2.66,1.01,1993-01-15
4764,00:00:00,12.4,10.2,17.8,3.0,385.56,78.6,0.0,3.78,1.04,1993-01-16
4765,00:00:00,12.5,6.8,18.8,7.2,459.27,76.0,0.0,2.56,0.98,1993-01-17
4766,00:00:00,13.33,7.0,19.2,4.6,393.12,77.6,0.8,3.1,0.84,1993-01-18
4767,00:00:00,12.9,9.8,18.4,5.9,464.94,73.3,0.0,4.4,1.04,1993-01-19
4768,00:00:00,12.4,7.2,18.6,9.4,548.1,70.6,0.0,4.9,1.27,1993-01-20
4769,00:00:00,13.1,8.6,18.8,9.4,606.69,65.3,0.0,4.68,1.18,1993-01-21
4770,00:00:00,12.4,7.0,19.2,9.6,592.35,68.6,0.0,5.46,1.37,1993-01-22
4771,00:00:00,13.1,8.6,20.6,5.9,446.04,72.6,0.0,3.73,1.15,1993-01-23
4772,00:00:00,12.9,8.0,18.8,9.4,584.01,72.6,0.0,4.92,1.23,1993-01-24
4773,00:00:00,12.3,7.4,17.8,9.1,599.13,71.3,0.0,4.3,1.28,1993-01-25
4774,00:00:00,12.4,7.2,18.0,7.0,459.54,75.6,0.1,3.16,1.17,1993-01-26
4775,00:00:00,13.5,10.8,19.0,5.2,417.69,75.3,0.0,2.82,1.11,1993-01-27
4776,00:00:00,13.33,7.0,20.6,8.7,574.56,76.6,0.0,5.26,1.3,1993-01-28
4777,00:00:00,13.9,9.8,19.2,8.2,534.87,72.3,0.0,3.48,1.41,1993-01-29
4778,00:00:00,13.8,9.4,20.0,7.5,506.52,71.0,0.0,5.36,1.11,1993-01-30
4779,00:00:00,14.4,8.6,20.4,7.2,510.3,68.6,0.0,3.86,1.08,1993-01-31
4780,00:00:00,13.7,10.4,18.0,3.4,374.22,75.3,0.0,2.52,1.16,1993-02-01
4781,00:00:00,13.4,10.2,19.8,3.2,326.97,83.3,5.4,2.8,0.94,1993-02-02
4782,00:00:00,12.8,4.0,20.4,7.8,635.04,74.0,0.0,5.04,1.14,1993-02-03
4783,00:00:00,13.3,9.6,17.8,4.2,164.43,78.0,0.0,2.4,1.08,1993-02-04
4785,00:00:00,12.1,8.4,16.0,7.1,480.06,75.3,0.3,2.68,1.45,1993-02-06
4787,00:00:00,12.4,6.4,17.0,6.0,519.75,81.0,0.0,3.46,1.27,1993-02-08
4788,00:00:00,11.7,9.2,14.4,0.2,302.4,82.0,2.7,1.84,0.93,1993-02-09
4789,00:00:00,12.4,5.8,17.6,4.7,406.35,75.0,0.0,2.94,1.08,1993-02-10
4790,00:00:00,12.8,9.2,17.0,4.3,398.79,78.0,0.0,3.04,0.86,1993-02-11
4791,00:00:00,13.5,11.4,17.4,6.5,510.3,81.0,0.0,3.6,1.05,1993-02-12
4792,00:00:00,13.9,10.0,21.0,9.7,578.34,75.0,0.0,7.48,1.05,1993-02-13
4793,00:00:00,14.0,7.6,19.2,9.1,525.42,69.6,0.0,4.16,1.06,1993-02-14
4794,00:00:00,15.0,5.6,22.0,8.7,557.55,65.6,0.0,6.1,1.09,1993-02-15
4795,00:00:00,14.0,9.0,20.4,9.5,601.02,55.0,0.0,4.48,0.66,1993-02-16
4796,00:00:00,14.6,6.2,22.0,9.2,593.46,66.0,0.0,5.46,1.04,1993-02-17
4797,00:00:00,13.1,5.0,21.0,10.0,574.56,64.3,0.0,4.88,1.16,1993-02-18
4798,00:00:00,13.5,7.2,20.6,10.0,640.71,73.0,0.0,6.18,1.26,1993-02-19
4799,00:00:00,13.8,5.4,21.4,7.3,500.85,74.0,0.0,3.86,1.06,1993-02-20
4800,00:00:00,12.6,7.8,17.8,7.5,483.84,77.0,0.0,2.62,1.31,1993-02-21
4801,00:00:00,12.4,9.6,17.2,3.3,364.77,71.3,0.0,3.16,0.81,1993-02-22
4802,00:00:00,13.6,6.8,20.4,9.1,546.21,71.3,0.0,2.88,1.12,1993-02-23
4803,00:00:00,13.7,9.6,21.4,4.2,377.22,75.0,0.9,3.34,0.91,1993-02-24
4804,00:00:00,13.1,9.2,21.4,5.2,437.75,75.0,9.8,5.38,0.8200000000000001,1993-02-25
4805,00:00:00,13.5,8.0,20.0,8.2,526.76,73.6,0.0,3.62,1.12,1993-02-26
4806,00:00:00,13.7,6.0,20.2,8.3,572.67,71.3,0.0,5.12,1.12,1993-02-27
4807,00:00:00,13.6,7.2,20.6,5.9,588.89,70.0,0.0,2.86,1.0,1993-02-28
4808,00:00:00,13.2,10.0,17.6,7.8,504.63,77.6,0.0,4.84,1.13,1993-03-01
4809,00:00:00,14.2,8.6,20.2,5.0,445.83,73.0,6.8,2.16,0.9,1993-03-02
4810,00:00:00,14.0,5.4,19.8,8.4,618.03,69.0,0.0,3.38,1.16,1993-03-03
4811,00:00:00,12.9,9.4,17.6,1.6,347.76,79.3,0.0,2.06,1.08,1993-03-04
4812,00:00:00,13.4,10.2,18.2,2.5,406.35,82.0,0.0,4.48,0.64,1993-03-05
4813,00:00:00,12.6,8.8,16.4,7.4,487.62,73.0,0.0,3.52,1.35,1993-03-06
4814,00:00:00,12.3,7.4,17.2,5.3,406.34,83.6,0.0,2.07,0.8300000000000001,1993-03-07
4815,00:00:00,12.4,9.8,15.6,8.3,527.31,82.6,1.3,2.96,1.89,1993-03-08
4817,00:00:00,10.8,7.4,17.4,2.1,277.83,82.0,0.2,1.54,0.89,1993-03-10
4818,00:00:00,11.8,10.4,16.9,0.9,277.83,86.6,2.0,1.04,0.61,1993-03-11
4819,00:00:00,13.2,11.0,18.0,4.8,334.53,79.0,0.1,0.48,0.81,1993-03-12
4820,00:00:00,12.9,8.8,18.2,6.6,415.36,83.6,0.0,4.1,1.37,1993-03-13
4821,00:00:00,12.1,9.8,16.4,1.3,264.59,77.0,7.8,2.54,0.84,1993-03-14
4822,00:00:00,12.5,6.2,17.8,9.9,410.13,73.3,0.0,1.46,1.37,1993-03-15
4823,00:00:00,13.6,8.6,19.0,8.7,606.69,74.6,0.0,2.62,1.21,1993-03-16
4824,00:00:00,14.3,9.4,22.2,6.9,546.21,74.6,1.3,5.28,0.94,1993-03-17
4825,00:00:00,14.2,10.0,22.6,5.7,517.46,76.0,0.0,4.06,1.13,1993-03-18
4826,00:00:00,14.2,7.6,22.0,5.2,557.38,74.0,0.0,8.14,1.14,1993-03-19
4827,00:00:00,14.9,9.4,21.6,4.9,474.39,71.0,0.0,4.7,0.98,1993-03-20
4828,00:00:00,13.8,9.6,19.6,4.6,438.28,68.6,0.0,3.74,0.77,1993-03-21
4829,00:00:00,13.9,11.4,18.0,4.0,451.71,77.0,4.5,3.04,1.41,1993-03-22
4830,00:00:00,13.0,11.0,16.2,0.1,283.5,81.0,0.0,3.3,0.77,1993-03-23
4831,00:00:00,13.5,10.8,17.6,3.3,435.68,75.6,0.4,2.48,1.06,1993-03-24
4832,00:00:00,13.6,10.0,18.8,4.1,436.59,76.0,3.0,2.28,0.93,1993-03-25
4833,00:00:00,12.9,10.2,19.0,3.5,410.15,80.0,8.9,6.0,1.0,1993-03-26
4834,00:00:00,14.2,9.6,19.0,3.6,415.8,78.0,6.4,3.16,1.31,1993-03-27
4835,00:00:00,13.3,9.8,18.2,7.1,572.91,79.0,1.1,1.0,0.49,1993-03-28
4836,00:00:00,14.0,9.2,20.0,6.6,557.55,76.0,0.0,4.78,0.96,1993-03-29
4837,00:00:00,14.6,9.6,19.6,5.2,463.05,72.6,0.0,2.04,0.9,1993-03-30
4838,00:00:00,14.5,10.8,19.0,4.8,398.75,70.0,0.2,5.46,1.21,1993-03-31
4839,00:00:00,13.0,9.8,17.8,7.6,525.42,77.0,0.0,4.12,1.09,1993-04-01
4840,00:00:00,13.6,8.8,20.4,3.4,376.11,79.0,0.0,3.92,0.91,1993-04-02
4841,00:00:00,14.6,11.4,20.6,6.2,499.74,65.0,1.7,5.56,1.11,1993-04-03
4842,00:00:00,13.15,7.4,19.4,5.3,553.77,74.6,0.0,3.68,1.07,1993-04-04
4843,00:00:00,14.7,9.0,20.6,6.6,531.09,76.6,0.5,1.98,0.9,1993-04-05
4844,00:00:00,12.8,6.4,17.4,7.0,447.93,71.3,1.6,2.78,1.19,1993-04-06
4845,00:00:00,11.8,7.2,16.6,2.7,315.63,83.6,4.0,1.23,0.93,1993-04-07
4846,00:00:00,12.0,8.6,19.4,3.5,296.73,86.0,1.7,0.14,1.42,1993-04-08
4847,00:00:00,12.5,9.4,17.2,3.3,466.83,77.3,0.1,3.82,0.97,1993-04-09
4848,00:00:00,12.5,5.6,19.0,10.1,612.36,70.3,0.0,5.06,1.11,1993-04-10
4849,00:00:00,13.7,9.8,19.4,6.9,497.07,75.0,9.3,4.66,0.84,1993-04-11
4850,00:00:00,14.3,8.6,18.6,3.2,391.23,74.0,0.0,6.54,0.71,1993-04-12
4851,00:00:00,12.9,8.6,17.0,1.0,376.11,78.3,0.8,2.3,0.86,1993-04-13
4852,00:00:00,13.6,11.0,18.6,1.6,396.9,82.6,0.9,2.04,0.78,1993-04-14
4853,00:00:00,13.9,11.2,19.6,3.2,294.84,79.3,0.0,2.36,0.99,1993-04-15
4854,00:00:00,12.9,11.0,17.6,1.3,330.75,88.0,7.8,2.8,0.79,1993-04-16
4855,00:00:00,13.5,8.6,19.2,3.2,425.25,78.6,8.7,2.84,0.71,1993-04-17
4856,00:00:00,13.9,8.8,20.2,5.2,489.39,74.6,3.4,3.28,0.72,1993-04-18
4857,00:00:00,14.1,9.8,18.8,7.8,616.92,75.3,0.0,3.66,1.08,1993-04-19
4859,00:00:00,13.4,11.0,18.2,4.7,444.15,85.0,4.2,1.56,1.11,1993-04-21
4860,00:00:00,13.5,10.8,17.4,4.7,406.35,80.0,5.0,2.96,1.11,1993-04-22
4861,00:00:00,12.6,11.0,15.8,1.5,262.71,64.0,1.1,0.78,0.77,1993-04-23
4862,00:00:00,13.5,9.2,18.2,4.5,400.68,81.3,0.0,0.8,0.89,1993-04-24
4863,00:00:00,14.6,11.4,19.2,8.1,578.16,77.6,1.3,7.08,1.15,1993-04-25
4864,00:00:00,13.8,12.2,20.2,4.7,461.16,81.0,0.0,3.9,1.03,1993-04-26
4865,00:00:00,14.0,8.0,18.8,5.9,128.52,78.0,0.9,3.22,0.0,1993-04-27
4866,00:00:00,13.9,11.6,19.01,4.2,440.39,76.6,0.5,3.62,1.87,1993-04-28
4867,00:00:00,12.2,10.6,15.4,0.2,147.42,84.6,0.0,0.74,0.56,1993-04-29
4868,00:00:00,13.8,8.8,18.2,4.9,527.31,78.6,0.0,3.58,1.01,1993-04-30
4869,00:00:00,13.2,8.6,19.0,4.0,149.31,77.3,0.0,2.94,0.89,1993-05-01
4870,00:00:00,13.6,8.6,20.2,9.6,584.01,72.0,0.0,4.8,1.07,1993-05-02
4871,00:00:00,12.7,8.0,19.6,8.0,580.23,74.3,0.5,4.5,1.05,1993-05-03
4872,00:00:00,14.8,8.8,20.0,7.7,591.57,66.0,0.0,3.66,1.31,1993-05-04
4873,00:00:00,14.2,10.8,19.8,4.6,421.47,78.3,0.0,2.24,0.78,1993-05-05
4874,00:00:00,12.5,5.8,16.2,5.1,343.98,81.3,4.2,2.26,1.22,1993-05-06
4875,00:00:00,11.7,7.6,16.0,2.7,398.9,82.3,3.9,3.16,0.97,1993-05-07
4876,00:00:00,9.8,9.0,13.4,4.5,463.05,89.6,1.4,1.34,1.57,1993-05-08
4877,00:00:00,12.9,9.4,18.8,3.9,342.09,79.3,0.0,0.8,0.91,1993-05-09
4878,00:00:00,13.0,4.8,19.2,9.7,580.23,73.6,0.0,4.52,1.12,1993-05-10
4880,00:00:00,14.5,10.0,18.8,6.6,498.18,75.6,1.9,1.7,0.6900000000000001,1993-05-12
4881,00:00:00,13.9,11.2,17.8,0.9,266.49,77.3,2.3,1.72,0.56,1993-05-13
4882,00:00:00,13.1,10.8,17.4,1.9,294.84,83.6,2.8,1.4,0.63,1993-05-14
4883,00:00:00,13.4,11.0,17.2,3.6,324.53,85.0,2.8,2.58,0.7000000000000001,1993-05-15
4884,00:00:00,12.5,9.0,16.4,2.5,386.88,80.6,0.7000000000000001,2.04,1.09,1993-05-16
4885,00:00:00,12.5,10.0,16.0,5.7,500.85,76.3,8.2,3.58,1.06,1993-05-17
4886,00:00:00,12.2,10.0,17.2,3.5,376.11,86.3,0.3,2.02,0.75,1993-05-18
4887,00:00:00,13.3,10.2,17.6,6.6,489.51,79.6,0.0,2.68,1.0,1993-05-19
4888,00:00:00,14.2,6.6,18.4,6.2,470.61,76.0,0.8,3.64,0.81,1993-05-20
4889,00:00:00,12.8,10.2,17.4,2.1,226.8,75.6,0.6000000000000001,1.22,0.46,1993-05-21
4890,00:00:00,14.3,9.8,18.6,7.0,179.55,71.3,0.0,3.68,1.06,1993-05-22
4891,00:00:00,14.1,10.4,17.2,4.9,459.27,72.0,0.4,2.82,0.81,1993-05-23
4892,00:00:00,13.6,8.4,20.2,4.4,366.66,73.3,2.9,1.3,0.66,1993-05-24
4895,00:00:00,12.9,10.0,18.6,3.1,328.86,78.6,0.3,1.86,0.76,1993-05-27
4896,00:00:00,13.9,10.8,18.8,5.7,502.74,72.3,3.0,4.26,0.93,1993-05-28
4897,00:00:00,12.3,10.2,16.6,2.1,364.77,73.3,0.0,2.68,0.89,1993-05-29
4898,00:00:00,12.7,6.8,16.8,5.3,406.35,77.0,0.0,2.42,0.8200000000000001,1993-05-30
4899,00:00:00,13.8,7.6,18.4,5.5,438.48,71.6,0.0,2.74,1.05,1993-05-31
4901,00:00:00,13.4,8.4,18.6,7.5,200.34,73.6,0.0,2.56,1.07,1993-06-02
4902,00:00:00,13.8,9.2,19.8,6.5,544.32,71.3,0.0,2.64,1.15,1993-06-03
4903,00:00:00,15.0,11.8,20.2,7.1,538.65,72.0,0.0,5.42,1.18,1993-06-04
4904,00:00:00,13.7,11.8,17.6,2.2,389.34,78.6,0.0,3.4,1.16,1993-06-05
4905,00:00:00,12.5,8.6,16.6,4.2,398.79,77.6,0.8,2.18,1.01,1993-06-06
4906,00:00:00,11.0,7.0,15.8,3.7,381.78,79.3,0.0,2.32,0.94,1993-06-07
4907,00:00:00,10.7,8.8,15.0,6.6,541.54,81.0,0.0,3.04,1.22,1993-06-08
4908,00:00:00,11.9,9.2,15.8,2.0,343.98,79.6,0.0,2.84,0.97,1993-06-09
4909,00:00:00,12.7,8.6,17.4,3.1,319.41,83.6,1.2,1.66,1.01,1993-06-10
4910,00:00:00,13.4,6.6,18.0,7.2,523.53,80.0,0.0,3.48,0.89,1993-06-11
4911,00:00:00,13.3,9.8,17.4,8.2,102.06,79.0,0.0,4.38,1.09,1993-06-12
4912,00:00:00,12.0,10.6,14.4,0.6000000000000001,253.26,82.3,5.2,0.02,0.79,1993-06-13
